IdCompra,Fecha,Fecha_Año,Fecha_Mes,Fecha_Periodo,IdProducto,Cantidad,Precio,IdProveedor,Outliers,Total_Compra
1,1/30/2015,2015,1,201501,42832,13,560.51,12,1.0,7286.63
2,1/30/2015,2015,1,201501,42833,11,497.58,7,1.0,5473.38
3,1/30/2015,2015,1,201501,42834,1,588.5,6,1.0,588.5
4,1/30/2015,2015,1,201501,42835,9,567.66,14,1.0,5108.94
5,1/30/2015,2015,1,201501,42839,14,231.31,2,1.0,3238.34
6,1/30/2015,2015,1,201501,42840,14,232.07,13,1.0,3248.98
7,1/30/2015,2015,1,201501,42841,8,236.98,4,1.0,1895.84
8,1/30/2015,2015,1,201501,42842,4,255.33,4,1.0,1021.32
9,1/30/2015,2015,1,201501,42845,5,578.61,12,1.0,2893.05
10,1/30/2015,2015,1,201501,42855,1,809.04,6,1.0,809.04
11,1/30/2015,2015,1,201501,42857,8,379.77,3,1.0,3038.16
12,1/30/2015,2015,1,201501,42858,11,365.37,7,1.0,4019.07
13,1/30/2015,2015,1,201501,42860,5,447.15,11,1.0,2235.75
14,1/30/2015,2015,1,201501,42862,4,310.02,6,1.0,1240.08
15,1/30/2015,2015,1,201501,42984,7,173.64,2,1.0,1215.48
16,1/30/2015,2015,1,201501,42907,6,316.37,5,1.0,1898.22
17,1/30/2015,2015,1,201501,42908,4,1081.16,13,1.0,4324.64
18,1/30/2015,2015,1,201501,42911,8,1409.06,7,1.0,11272.48
19,1/30/2015,2015,1,201501,42914,4,982.0,8,1.0,3928.0
20,1/30/2015,2015,1,201501,42915,17,1225.11,13,1.0,20826.87
21,1/30/2015,2015,1,201501,42917,7,746.4364702544216,13,0.0,5225.055291780951
22,1/30/2015,2015,1,201501,42923,3,505.66,14,1.0,1516.98
23,1/30/2015,2015,1,201501,42924,5,381.21,12,1.0,1906.05
24,1/30/2015,2015,1,201501,42934,10,1187.08,1,1.0,11870.8
25,1/30/2015,2015,1,201501,42939,13,1793.33,10,1.0,23313.29
26,1/30/2015,2015,1,201501,42940,6,1515.75,4,1.0,9094.5
27,1/30/2015,2015,1,201501,42941,6,2080.0534285714284,2,1.0,12480.32057142857
28,1/30/2015,2015,1,201501,42943,8,1706.29,12,1.0,13650.32
29,1/30/2015,2015,1,201501,42944,5,2464.33,10,1.0,12321.65
30,1/30/2015,2015,1,201501,42945,12,2082.62,7,1.0,24991.44
31,1/30/2015,2015,1,201501,42947,4,1939.23,2,1.0,7756.92
32,1/30/2015,2015,1,201501,42950,12,1685.63,11,1.0,20227.56
33,1/30/2015,2015,1,201501,42952,8,2549.745294117647,12,0.0,20397.962352941177
34,1/30/2015,2015,1,201501,42954,7,1825.08,4,1.0,12775.56
35,1/30/2015,2015,1,201501,42955,2,1816.93,5,1.0,3633.86
36,1/30/2015,2015,1,201501,42958,4,2447.5965,2,0.0,9790.386
