index,Latitud,Longitud,IdLocalidad,Localidad,IdProvincia,Provincia
0.0,-35.03307343,-60.28061973,6021010000,Alberti,6.0,Buenos Aires
1.0,-34.868119,-60.39397088,6021020000,Coronel Segui,6.0,Buenos Aires
2.0,-35.06801367,-60.40259716,6021030000,Mechita,6.0,Buenos Aires
3.0,-35.12438198,-60.22006126,6021040000,Pla,6.0,Buenos Aires
4.0,-35.10961783,-60.07055132,6021050000,Villa Grisolia,6.0,Buenos Aires
5.0,-34.88812554,-60.34693856,6021060000,Villa Maria,6.0,Buenos Aires
6.0,-34.84353294,-60.30484986,6021070000,Villa Ortiz,6.0,Buenos Aires
7.0,-34.80155807,-58.39146772,6028010001,Adrogue,6.0,Buenos Aires
8.0,-34.83154159,-58.39868749,6028010002,Burzaco,6.0,Buenos Aires
9.0,-34.80447591,-58.34478255,6028010003,Claypole,6.0,Buenos Aires
10.0,-34.82107516,-58.3447458,6028010004,Don Orione,6.0,Buenos Aires
11.0,-34.88601142,-58.38183018,6028010005,Glew,6.0,Buenos Aires
12.0,-34.78514425,-58.36814756,6028010006,Jose Marmol,6.0,Buenos Aires
13.0,-34.86094503,-58.38914769,6028010007,Longchamps,6.0,Buenos Aires
14.0,-34.81895832,-58.42356106,6028010008,Malvinas Argentinas,6.0,Buenos Aires
15.0,-34.8556895,-58.36164654,6028010009,Ministro Rivadavia,6.0,Buenos Aires
16.0,-34.79113675,-58.35059818,6028010010,Rafael Calzada,6.0,Buenos Aires
17.0,-34.78667436,-58.32193635,6028010011,San Francisco Solano,6.0,Buenos Aires
18.0,-34.76737719,-58.34327714,6028010012,San Jose,6.0,Buenos Aires
19.0,-34.67500565,-58.31056342,6035010001,Area Cinturon Ecologico,6.0,Buenos Aires
20.0,-34.66265081,-58.36569902,6035010002,Avellaneda,6.0,Buenos Aires
21.0,-34.66910587,-58.35745444,6035010003,Crucesita,6.0,Buenos Aires
22.0,-34.64912669,-58.34117748,6035010004,Dock Sud,6.0,Buenos Aires
23.0,-34.68476375,-58.37260255,6035010005,Gerli,6.0,Buenos Aires
24.0,-34.66854979,-58.38860291,6035010006,Piñeyro,6.0,Buenos Aires
25.0,-34.68437166,-58.34810131,6035010007,Sarandi,6.0,Buenos Aires
26.0,-34.69863151,-58.33636026,6035010008,Villa Dominico,6.0,Buenos Aires
27.0,-34.70615884,-58.32183492,6035010009,Wilde,6.0,Buenos Aires
28.0,-37.15366957,-58.48954767,6042010000,Ayacucho,6.0,Buenos Aires
29.0,-37.22862561,-58.760389,6042020000,La Constancia,6.0,Buenos Aires
30.0,-36.84449844,-58.50714217,6042030000,Solanet,6.0,Buenos Aires
31.0,-36.56375135,-58.53333442,6042040000,Udaquiola,6.0,Buenos Aires
32.0,-36.53125442,-59.92006518,6049010000,Ariel,6.0,Buenos Aires
33.0,-36.7795145,-59.85863317,6049020000,Azul,6.0,Buenos Aires
34.0,-36.38056263,-59.50306455,6049030000,Cachari,6.0,Buenos Aires
35.0,-37.31501132,-59.98531817,6049040000,Chillar,6.0,Buenos Aires
36.0,-37.20205248,-60.16521392,6049050000,16 De Julio,6.0,Buenos Aires
37.0,-38.71140373,-62.25690895,6056010001,Bahia Blanca,6.0,Buenos Aires
38.0,-38.74710795,-62.18911669,6056010002,Grünbein,6.0,Buenos Aires
39.0,-38.77946704,-62.26295125,6056010003,Ingeniero White,6.0,Buenos Aires
40.0,-38.64726051,-62.32002234,6056010004,Villa Bordeau,6.0,Buenos Aires
41.0,-38.77650695,-62.18518335,6056010005,Villa Espora,6.0,Buenos Aires
42.0,-38.48385721,-61.89260153,6056020000,Cabildo,6.0,Buenos Aires
43.0,-38.71365249,-62.39242217,6056030000,General Daniel Cerri,6.0,Buenos Aires
44.0,-37.84827793,-58.25516658,6063010000,Balcarce,6.0,Buenos Aires
45.0,-37.94120576,-58.32259202,6063020000,Los Pinos,6.0,Buenos Aires
46.0,-37.62549802,-58.74618624,6063030000,Napaleofu,6.0,Buenos Aires
47.0,-37.54263537,-58.34071855,6063040000,Ramos Otero,6.0,Buenos Aires
48.0,-38.01228386,-58.35537776,6063050000,San Agustin,6.0,Buenos Aires
49.0,-37.85962853,-57.98060087,6063060000,Villa Laguna La Brava,6.0,Buenos Aires
50.0,-33.81287815,-59.50430689,6070010000,Baradero,6.0,Buenos Aires
51.0,-33.98104892,-59.67156016,6070020000,Irineo Portela,6.0,Buenos Aires
52.0,-34.06215413,-59.55854206,6070030000,Santa Coloma,6.0,Buenos Aires
53.0,-33.9096038,-59.38820171,6070040000,Villa Alsina,6.0,Buenos Aires
54.0,-34.06459112,-60.10255644,6077010000,Arrecifes,6.0,Buenos Aires
55.0,-34.03282405,-60.15622701,6077020000,Todd,6.0,Buenos Aires
56.0,-33.99227652,-60.22632112,6077030000,Vi¥A,6.0,Buenos Aires
57.0,-37.64241113,-59.38893803,6084010000,Barker,6.0,Buenos Aires
58.0,-37.67664102,-59.80576771,6084020000,Benito Juarez,6.0,Buenos Aires
59.0,-37.55451209,-59.62784615,6084030000,Lopez,6.0,Buenos Aires
60.0,-37.36836863,-59.76303916,6084040000,Tedin Uriburu,6.0,Buenos Aires
61.0,-37.67047789,-59.40035334,6084050000,Villa Cacique,6.0,Buenos Aires
62.0,-34.75974933,-58.20196452,6091010001,Berazategui,6.0,Buenos Aires
63.0,-34.78042019,-58.24150103,6091010002,Berazategui Oeste,6.0,Buenos Aires
64.0,-34.80211922,-58.21882125,6091010003,Carlos Tomas Sourigues,6.0,Buenos Aires
65.0,-34.90675571,-58.1966995,6091010004,El Pato,6.0,Buenos Aires
66.0,-34.78975949,-58.14396926,6091010005,Guillermo Enrique Hudson,6.0,Buenos Aires
67.0,-34.83484208,-58.18190611,6091010006,Juan Maria Gutierrez,6.0,Buenos Aires
68.0,-34.84719454,-58.13927652,6091010007,Pereyra,6.0,Buenos Aires
69.0,-34.76742018,-58.1652686,6091010008,Platanos,6.0,Buenos Aires
70.0,-34.79414685,-58.19898156,6091010009,Ranelagh,6.0,Buenos Aires
71.0,-34.77606342,-58.2002533,6091010010,Villa España,6.0,Buenos Aires
72.0,-34.87525899,-57.85508567,6098010001,Barrio Banco Provincia,6.0,Buenos Aires
73.0,-34.92931022,-57.88535525,6098010002,Barrio El Carmen (Este),6.0,Buenos Aires
74.0,-34.90275288,-57.92708843,6098010003,Barrio Universitario,6.0,Buenos Aires
75.0,-34.87463537,-57.89474723,6098010004,Berisso,6.0,Buenos Aires
76.0,-34.91902092,-57.7909955,6098010005,Los Talas,6.0,Buenos Aires
77.0,-34.90539819,-57.91808151,6098010006,Villa Argüello,6.0,Buenos Aires
78.0,-34.88020854,-57.86630367,6098010007,Villa Dolores,6.0,Buenos Aires
